model,precision,words,story
TinyStories-Instruct-8M,int8,206,"Once upon a time, there was a little girl named Anna. She was very happy and loved to play. One day, Anna wanted to trade her red balloon for a shiny, shiny rock. She asked her mom for a trade, but her mom said no.

Anna was sad and went to play with her balloon. She was having so much fun that she didn't notice the sky was getting dark. Suddenly, she saw a big, dark cloud in the sky. She was scared and ran to her mom.

Anna's mom said, ""Don't worry, Anna. I have a surprise for you."" She took out a big, shiny rock from her pocket and gave it to Anna. Anna was so happy and hugged her mom.

But then, something unexpected happened. The rock she had traded was actually a big, shiny rock! Anna was so excited and she ran to show her mom. But when she got there, she saw that the rock was not shiny anymore. It was just painted mud!

Anna was so sad. She had wanted to trade her red balloon for the shiny rock, but now it was gone. She had been so excited that she had found the rock, but now it was gone."
TinyStories-Instruct-8M,int4,265,"Once upon a time, there was a little girl named Anna. She was only three years old. She was very happy and she loved to play.

One day, Anna was playing in her garden when she saw something shiny. It was a big, red balloon! She was so excited and she wanted to get it.

Anna asked her mom if she could have it. Her mom said yes, but she had to be careful. Anna was so happy and she took the balloon.

Anna was so excited that she wanted to show her mom. She ran to the garden and saw the balloon. But when she got closer, she saw something strange. It was a big, shiny rock.

Anna was so excited that she wanted to get it. She reached out her hand and tried to grab it. But it was too late. The rock was too big and it was too heavy for her.

Anna was sad and she started to cry. She had wanted the shiny thing so badly. She was so sad that she had tried to get it.

The end of the day, Anna was sad that she had been so excited to get the shiny thing. But then she noticed something. It was a big, red balloon! She was so happy and she was so happy.

But then she noticed something. There was a big, red balloon. It was so big and it was so big that it was too heavy for her to carry. She was so sad that she had to give up.

But then she noticed something."
TinyStories-Instruct-28M,fp32,189,"Once upon a time, there was a little girl named Anna. She was very happy and loved to play with her toys. One day, Anna saw a big, shiny, red balloon in the park. She wanted it so badly, but she didn't have any money.

Suddenly, Anna had an idea. She decided to trade her red balloon for the shiny, shiny rock she had in her pocket. She was so excited to get the rock, but when she opened her pocket, she found something disgusting. It was a big, slimy, smelly mud puddle!

Anna was so disgusted by the mud puddle that she quickly threw the rock away. But when she looked closer, she saw that the rock was actually a beautiful, shiny rock. Anna was so happy that she had made a good trade.

But then, something unexpected happened. As Anna was about to take the rock, she noticed that it was actually a bit dirty. She was so disappointed that she threw it away.

Anna was sad that she had made a bad trade, but she was also happy that she had found a beautiful, shiny rock."
TinyStories-Instruct-28M,bf16,210,"Once upon a time, there was a little girl named Anna. She was very happy and loved to play with her toys. One day, Anna saw a big, shiny, red balloon in the park. She wanted it so badly, but she didn't have any money.

Suddenly, Anna had an idea. She decided to trade her red balloon for the shiny, shiny rock she had in her pocket. She was so excited to get the rock, but when she opened her pocket, she found something disgusting. It was a big, slimy, smelly mud puddle!

Anna was so disgusted by the mud puddle that she quickly threw the rock away. But when she looked closer, she saw that the rock was actually a beautiful, shiny rock. Anna was so happy that she had made a good trade.

But then, something unexpected happened. As Anna was about to take the rock, she noticed that it was actually a bit dirty. She was so disappointed that she threw it away.

Anna was so sad that she had been tricked. She had been tricked by the mud puddle, and now she had nothing to show for it. She had been so excited to get the shiny, red balloon, but it had been a bad ending."
TinyStories-Instruct-28M,int8,155,"Once upon a time, there was a little girl named Anna. She had a red balloon that she loved very much. One day, Anna decided to go for a walk in the park. She held her balloon tightly and skipped along the path.

Suddenly, Anna saw a shiny rock. She wanted to keep it, so she decided to trade it for the rock. She was so excited to have the shiny rock, but when she got home, she realized it was just painted mud!

Anna was so sad. She had been so excited to have the shiny rock, but now it was all gone. She had been so excited to have the rock, but now it was all gone.

Anna was very disappointed. She had been so excited to have the shiny rock, but now it was all gone. She had been so excited to have the shiny rock, but now it was all gone."
TinyStories-Instruct-28M,int4,248,"Once upon a time, there was a little girl named Anna. She was very happy and loved to play with her red balloon. One day, Anna decided to go for a walk in the park. As she was walking, she saw a big, shiny rock. She wanted to take it home with her.

Anna asked her mom if she could have the rock, but her mom said no. Anna was very sad and she started to cry. Then, something very strange happened. Anna saw a big, shiny rock in the grass. She was so excited and she wanted to take it home with her.

Anna asked her mom if she could have the rock, but her mom said no. Anna was so sad and she started to cry again. Then, something amazing happened. Anna saw that the rock was actually a big, shiny rock. It was a beautiful, shiny rock. Anna was so happy and she hugged the rock.

But then, Anna noticed something strange. The rock was not a rock at all. It was a big, black, dirty rock. Anna was so surprised and she was very confused. She asked her mom why the rock was so dirty and her mom said it was because it was made of dust.

Anna was so sad that she had been so excited about the rock. She wanted to take it home with her, but her mom said no. Anna was so disappointed and she cried all the way home."
TinyStories-Instruct-33M,fp32,165,"Once upon a time, there was a little girl named Anna. She was three years old and loved to play outside. One day, Anna saw a shiny red balloon in the sky. She wanted it so much, so she decided to trade her red balloon for it.

Anna was so excited to have the balloon, so she ran to the park to play. She was having so much fun, but then something strange happened. She saw a big, shiny rock in the sky. It was so shiny and beautiful!

Anna wanted to get the rock, so she ran to the park to find it. When she got there, she saw a big, shiny rock. She was so excited, she wanted to get it. But when she touched it, it was really hot!

Anna was so sad. She had wanted the shiny rock so much, but now it was too hot to touch. She had to go home without the rock, and she was very disappointed."
TinyStories-Instruct-33M,bf16,165,"Once upon a time, there was a little girl named Anna. She was three years old and loved to play outside. One day, Anna was playing in the park when she saw a shiny rock. She wanted to have it, so she asked her mom if she could trade it for something else. Her mom said yes, so Anna went to the store to buy something.

Anna found a pretty red balloon and was so excited. She went to the cashier to pay for it. But when she got to the cashier, the balloon was gone! Anna was so sad. She looked around and saw a big, shiny rock. She thought it was the same one she wanted to trade for the rock.

Anna was so happy to have the rock, but when she got home, she realized it was just a rock. She was so disappointed and felt very sad. She had been so excited to have the rock, but now it was gone."
TinyStories-Instruct-33M,int8,192,"Once upon a time, there was a little girl named Anna. She was three years old and loved to play outside. One day, Anna was playing in the park when she saw a shiny red balloon. She wanted it so badly, so she asked her mom if she could have it. Her mom said yes, so Anna happily took the balloon and ran off to play.

Anna was having so much fun with her balloon that she didn't notice the big, dark cloud in the sky. Suddenly, it started to rain and the balloon started to float away. Anna was so sad, she started to cry.

But then, something strange happened. The balloon started to shrink and shrink until it was the size of a pea! Anna was so surprised, she couldn't believe her eyes. She had never seen anything like it before.

Anna was so sad that she had lost her balloon. She looked around and saw a big, dark cloud in the sky. She realized that the balloon was just a rock, and it was not a real balloon. Anna was so disappointed, she started to cry again.

The end."
TinyStories-Instruct-33M,int4,258,"Possible story:

Anna liked to play with her red balloon. She would hold it and watch it fly in the sky. She liked to see how high it could go. She liked to see how it felt on her face.

One day, she saw a big shiny rock in the park. She wanted to see it closer. She let go of her balloon and ran to the rock. She did not see the red balloon coming down.

The rock was not a rock. It was a big red balloon. It was not a balloon. It was a big red balloon. It was not a rock. It was a big red balloon. It was not a rock. It was a big red balloon.

Anna was sad. She did not like the big red balloon. She wanted it back. She looked at the big red balloon. She saw something else. She saw a big red flower. She saw something else.

She saw something else. She saw something else. She saw something else. Something that was not a flower. Something that was not a flower. Something that was not a flower.

It was a big red balloon. It was not a flower. It was a big red balloon. It was not a flower. It was a balloon. It was not a balloon. It was a balloon.

Anna was surprised. She did not like the big red balloon. She did not like the big red balloon. She did not like the big red balloon. She did not like the big red balloon."
